                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0646,                 1.6285,                 1.2066,                0.94925,                0.94001,                0.98687,                0.73079,                0.94512,                  1.309,                 1.0711,             0.00055146,             0.00055146,             0.00055146
                      2,                0.94918,                0.98419,                 1.1085,                0.95212,                0.97458,                0.98951,                0.73996,                 0.9277,                 1.1176,                 1.0993,              0.0011035,              0.0011035,              0.0011035
                      3,                 0.9237,                0.78882,                 1.0899,                0.94196,                0.96901,                0.98278,                0.72656,                 0.9221,                0.69256,                  1.114,              0.0016518,              0.0016518,              0.0016518
                      4,                0.90556,                0.66634,                 1.0751,                0.97053,                0.97874,                0.98754,                0.78557,                0.81348,                0.52881,                 1.0047,              0.0016505,              0.0016505,              0.0016505
                      5,                0.86924,                0.60397,                 1.0689,                0.96479,                0.98992,                0.99188,                0.78902,                0.79835,                0.46628,                0.98627,              0.0016505,              0.0016505,              0.0016505
                      6,                 0.8463,                0.56401,                 1.0446,                0.95553,                 0.9776,                0.98911,                0.78089,                0.79856,                0.47086,                 1.0018,               0.001645,               0.001645,               0.001645
                      7,                0.80899,                0.52138,                 1.0326,                0.96049,                0.94775,                0.98704,                0.72516,                0.92748,                0.50848,                 1.0621,              0.0016395,              0.0016395,              0.0016395
                      8,                0.79272,                0.50483,                 1.0192,                0.97454,                 0.9558,                0.98919,                0.79402,                0.74967,                0.45252,                0.97072,               0.001634,               0.001634,               0.001634
                      9,                0.78259,                0.49365,                 1.0219,                0.96467,                0.97942,                0.99209,                0.78927,                0.77956,                0.40612,                  1.015,              0.0016285,              0.0016285,              0.0016285
                     10,                0.77124,                0.47961,                 1.0063,                0.97822,                0.98466,                 0.9937,                 0.8108,                0.73768,                0.38995,                0.95876,               0.001623,               0.001623,               0.001623
                     11,                0.77606,                  0.478,                 1.0167,                0.96966,                 0.9868,                0.99217,                0.82574,                0.70092,                0.35945,                0.94864,              0.0016175,              0.0016175,              0.0016175
                     12,                0.76112,                0.46549,                  1.005,                 0.9828,                0.98041,                0.99062,                0.80927,                 0.7031,                0.37206,                0.95804,               0.001612,               0.001612,               0.001612
                     13,                0.73317,                0.44199,                0.99455,                0.97276,                0.99127,                0.99344,                0.83534,                0.70106,                 0.3514,                0.96123,              0.0016065,              0.0016065,              0.0016065
                     14,                0.73167,                0.44015,                0.99227,                0.96954,                0.98198,                0.99039,                0.84073,                0.64678,                0.35087,                0.92561,               0.001601,               0.001601,               0.001601
                     15,                  0.735,                0.43438,                0.99491,                0.97564,                0.98838,                0.99239,                0.81943,                0.69179,                0.34752,                0.95141,              0.0015955,              0.0015955,              0.0015955
                     16,                0.71353,                0.42636,                0.98533,                0.98199,                0.98787,                0.99401,                0.83642,                0.65851,                0.33281,                0.93323,                0.00159,                0.00159,                0.00159
                     17,                0.70092,                0.41889,                  0.987,                0.96001,                0.96822,                0.99135,                0.82767,                0.67999,                0.49827,                0.93935,              0.0015845,              0.0015845,              0.0015845
                     18,                0.69643,                0.41159,                0.97753,                0.97844,                 0.9869,                0.99274,                0.80479,                0.74308,                0.35071,                0.99643,               0.001579,               0.001579,               0.001579
                     19,                0.69819,                0.40989,                0.97751,                0.97536,                 0.9885,                0.99213,                0.84917,                0.63696,                0.32985,                0.92439,              0.0015735,              0.0015735,              0.0015735
                     20,                0.69569,                0.41346,                0.97801,                0.97806,                0.99315,                0.99216,                0.83343,                0.66684,                 0.3363,                0.93999,               0.001568,               0.001568,               0.001568
                     21,                0.69123,                0.41005,                0.97682,                0.97831,                0.99186,                0.99293,                0.81354,                0.76341,                0.34394,                0.96207,              0.0015625,              0.0015625,              0.0015625
                     22,                0.67574,                0.40007,                0.97277,                0.97519,                0.98226,                0.99323,                0.84765,                0.65799,                0.32757,                0.94156,               0.001557,               0.001557,               0.001557
                     23,                0.67768,                 0.3953,                0.96914,                0.97174,                0.97632,                0.99293,                 0.8414,                0.65639,                0.33125,                0.93157,              0.0015515,              0.0015515,              0.0015515
                     24,                0.69721,                0.40252,                0.98279,                0.97687,                0.98719,                 0.9934,                0.85508,                0.64352,                0.32011,                0.92394,               0.001546,               0.001546,               0.001546
                     25,                0.67529,                0.39234,                0.96902,                0.98379,                0.98991,                0.99282,                0.85185,                0.64766,                0.30612,                0.92169,              0.0015405,              0.0015405,              0.0015405
                     26,                0.67121,                0.39232,                0.97025,                 0.9768,                0.99148,                0.99425,                0.86205,                0.62773,                 0.2996,                  0.917,               0.001535,               0.001535,               0.001535
                     27,                0.66459,                0.38901,                0.96457,                0.97618,                 0.9914,                0.99315,                0.84362,                0.63655,                 0.3086,                0.93243,              0.0015295,              0.0015295,              0.0015295
                     28,                0.67014,                 0.3823,                0.96677,                0.97683,                0.99127,                0.99384,                0.86388,                0.61024,                0.28817,                0.91442,               0.001524,               0.001524,               0.001524
                     29,                0.66041,                0.37114,                0.96009,                0.96615,                0.99599,                0.99294,                0.86686,                0.58895,                0.29519,                0.89991,              0.0015185,              0.0015185,              0.0015185
                     30,                0.65582,                0.37695,                0.96783,                0.97269,                0.99375,                0.99359,                0.86214,                0.62288,                0.30212,                0.90715,               0.001513,               0.001513,               0.001513
                     31,                0.67583,                0.38353,                0.96741,                0.97994,                0.99388,                0.99365,                0.84611,                0.64859,                0.29807,                0.93109,              0.0015075,              0.0015075,              0.0015075
                     32,                0.64413,                0.36574,                0.95746,                0.96744,                0.99316,                0.99295,                0.85911,                0.63504,                0.30578,                0.90621,               0.001502,               0.001502,               0.001502
                     33,                0.63433,                0.36897,                0.94587,                0.97255,                0.99127,                 0.9929,                0.86615,                0.59712,                0.28787,                0.89174,              0.0014965,              0.0014965,              0.0014965
                     34,                0.64066,                0.36614,                0.95708,                0.97119,                0.99528,                0.99333,                 0.8174,                0.69173,                0.31834,                0.96032,               0.001491,               0.001491,               0.001491
                     35,                0.64671,                0.36307,                0.95572,                0.98184,                0.98625,                0.99418,                 0.8631,                0.62881,                0.29295,                0.92408,              0.0014855,              0.0014855,              0.0014855
                     36,                0.62743,                0.36342,                0.95324,                0.97969,                0.99119,                0.99416,                 0.8812,                0.58511,                0.27764,                0.89363,                0.00148,                0.00148,                0.00148
                     37,                 0.6283,                 0.3578,                   0.95,                0.97656,                0.99198,                0.99399,                0.86362,                0.62081,                0.28862,                0.90694,              0.0014745,              0.0014745,              0.0014745
                     38,                0.62441,                0.35828,                0.94783,                0.98467,                0.98808,                0.99399,                0.87542,                0.58144,                0.28544,                0.89536,               0.001469,               0.001469,               0.001469
                     39,                0.61558,                  0.353,                0.95021,                0.97796,                0.99404,                0.99366,                0.87912,                0.59554,                0.29109,                0.90392,              0.0014635,              0.0014635,              0.0014635
                     40,                0.61948,                0.35538,                0.94488,                0.98031,                0.99221,                0.99414,                 0.8775,                0.58538,                0.27221,                0.90017,               0.001458,               0.001458,               0.001458
                     41,                0.62588,                0.35168,                0.94478,                0.97793,                0.99446,                0.99409,                0.86726,                 0.5912,                0.27937,                0.91354,              0.0014525,              0.0014525,              0.0014525
                     42,                 0.6159,                0.35141,                0.94451,                 0.9822,                0.99067,                0.99409,                0.87414,                0.58749,                0.27741,                0.90187,               0.001447,               0.001447,               0.001447
                     43,                 0.6242,                0.34553,                0.95077,                0.98649,                0.98385,                0.99356,                0.87232,                0.59765,                0.27728,                0.90498,              0.0014415,              0.0014415,              0.0014415
                     44,                0.61721,                 0.3492,                0.93808,                0.98764,                0.98701,                0.99362,                0.87749,                0.55918,                0.26345,                0.88589,               0.001436,               0.001436,               0.001436
                     45,                0.60188,                0.33876,                0.94087,                0.97947,                0.99331,                0.99429,                0.87974,                0.56782,                0.26643,                 0.8775,              0.0014305,              0.0014305,              0.0014305
                     46,                0.61409,                0.34292,                0.94585,                0.97927,                0.99066,                0.99232,                0.86416,                0.57563,                  0.272,                0.89263,               0.001425,               0.001425,               0.001425
                     47,                0.60036,                0.33566,                0.93838,                0.97893,                0.99286,                0.99442,                0.87313,                0.59003,                0.26781,                0.90788,              0.0014195,              0.0014195,              0.0014195
                     48,                0.59997,                0.34256,                0.93528,                0.98479,                0.99005,                0.99377,                 0.8744,                 0.5944,                0.27591,                0.89831,              0.0014139,              0.0014139,              0.0014139
                     49,                  0.598,                0.33821,                 0.9364,                0.98213,                0.99199,                0.99448,                0.87565,                0.58966,                0.26687,                0.89478,              0.0014084,              0.0014084,              0.0014084
                     50,                0.59224,                0.33913,                 0.9344,                 0.9838,                0.98754,                0.99314,                0.87345,                0.59015,                0.26675,                0.89649,              0.0014029,              0.0014029,              0.0014029
                     51,                0.59884,                0.33693,                 0.9401,                0.97736,                0.99499,                0.99444,                0.88466,                0.56005,                0.25929,                0.87824,              0.0013974,              0.0013974,              0.0013974
                     52,                0.60284,                0.33908,                0.93686,                0.98088,                0.99315,                0.99393,                0.87772,                0.56935,                0.25696,                0.88473,              0.0013919,              0.0013919,              0.0013919
